,variable,units
0,DATAH,DATAU
1,filename,Unnamed: 1
2,date,[yyyy-mm-dd]
3,time,[HH:MM]
4,DOY,[ddd.ddd]
5,daytime,[1=daytime]
6,file_records,[#]
7,used_records,[#].1
8,Tau,[kg+1m-1s-2]
9,qc_Tau,[#].2
10,rand_err_Tau,[kg+1m-1s-2].1
11,H,[W+1m-2]
12,qc_H,[#].3
13,rand_err_H,[W+1m-2].1
14,LE,[W+1m-2].2
15,qc_LE,[#].4
16,rand_err_LE,[W+1m-2].3
17,co2_flux,[µmol+1s-1m-2]
18,qc_co2_flux,[#].5
19,rand_err_co2_flux,[µmol+1s-1m-2].1
20,h2o_flux,[mmol+1s-1m-2]
21,qc_h2o_flux,[#].6
22,rand_err_h2o_flux,[mmol+1s-1m-2].1
23,ch4_flux,[µmol+1s-1m-2].2
24,qc_ch4_flux,[#].7
25,rand_err_ch4_flux,[µmol+1s-1m-2].3
26,none_flux,[µmol+1s-1m-2].4
27,qc_none_flux,[#].8
28,rand_err_none_flux,[µmol+1s-1m-2].5
29,H_strg,[W+1m-2].4
30,LE_strg,[W+1m-2].5
31,co2_strg,[µmol+1s-1m-2].6
32,h2o_strg,[mmol+1s-1m-2].2
33,ch4_strg,[µmol+1s-1m-2].7
34,none_strg,[µmol+1s-1m-2].8
35,co2_v-adv,[µmol+1s-1m-2].9
36,h2o_v-adv,[mmol+1s-1m-2].3
37,ch4_v-adv,[µmol+1s-1m-2].10
38,none_v-adv,[µmol+1s-1m-2].11
39,co2_molar_density,[mmol+1m-3]
40,co2_mole_fraction,[µmol+1mol_a-1]
41,co2_mixing_ratio,[µmol+1mol_d-1]
42,co2_time_lag,[s]
43,co2_def_timelag,[1=default]
44,h2o_molar_density,[mmol+1m-3].1
45,h2o_mole_fraction,[mmol+1mol_a-1]
46,h2o_mixing_ratio,[mmol+1mol_d-1]
47,h2o_time_lag,[s].1
48,h2o_def_timelag,[1=default].1
49,ch4_molar_density,[mmol+1m-3].2
50,ch4_mole_fraction,[µmol+1mol_a-1].1
51,ch4_mixing_ratio,[µmol+1mol_d-1].1
52,ch4_time_lag,[s].2
53,ch4_def_timelag,[1=default].2
54,none_molar_density,[mmol+1m-3].3
55,none_mole_fraction,[µmol+1mol_a-1].2
56,none_mixing_ratio,[µmol+1mol_d-1].2
57,none_time_lag,[s].3
58,none_def_timelag,[1=default].3
59,sonic_temperature,[K]
60,air_temperature,[K].1
61,air_pressure,[Pa]
62,air_density,[kg+1m-3]
63,air_heat_capacity,[J+1kg-1K-1]
64,air_molar_volume,[m+3mol-1]
65,ET,[mm+1hour-1]
66,water_vapor_density,[kg+1m-3].1
67,e,[Pa].1
68,es,[Pa].2
69,specific_humidity,[kg+1kg-1]
70,RH,[%]
71,VPD,[Pa].3
72,Tdew,[K].2
73,u_unrot,[m+1s-1]
74,v_unrot,[m+1s-1].1
75,w_unrot,[m+1s-1].2
76,u_rot,[m+1s-1].3
77,v_rot,[m+1s-1].4
78,w_rot,[m+1s-1].5
79,wind_speed,[m+1s-1].6
80,max_wind_speed,[m+1s-1].7
81,wind_dir,[deg_from_north]
82,yaw,[deg]
83,pitch,[deg].1
84,roll,[deg].2
85,u*,[m+1s-1].8
86,TKE,[m+2s-2]
87,L,[m]
88,(z-d)/L,[#].9
89,bowen_ratio,[#].10
90,T*,[K].3
91,model,[0=KJ/1=KM/2=HS]
92,x_peak,[m].1
93,x_offset,[m].2
94,x_10%,[m].3
95,x_30%,[m].4
96,x_50%,[m].5
97,x_70%,[m].6
98,x_90%,[m].7
99,un_Tau,[kg+1m-1s-2].2
100,Tau_scf,[#].11
101,un_H,[W+1m-2].6
102,H_scf,[#].12
103,un_LE,[W+1m-2].7
104,LE_scf,[#].13
105,un_co2_flux,[µmol+1s-1m-2].12
106,co2_scf,[#].14
107,un_h2o_flux,[mmol+1s-1m-2].4
108,h2o_scf,[#].15
109,un_ch4_flux,[µmol+1s-1m-2].13
110,ch4_scf,[#].16
111,un_none_flux,[µmol+1s-1m-2].14
112,un_none_scf,[#].17
113,spikes_hf,8u/v/w/ts/co2/h2o/ch4/none
114,amplitude_resolution_hf,8u/v/w/ts/co2/h2o/ch4/none.1
115,drop_out_hf,8u/v/w/ts/co2/h2o/ch4/none.2
116,absolute_limits_hf,8u/v/w/ts/co2/h2o/ch4/none.3
117,skewness_kurtosis_hf,8u/v/w/ts/co2/h2o/ch4/none.4
118,skewness_kurtosis_sf,8u/v/w/ts/co2/h2o/ch4/none.5
119,discontinuities_hf,8u/v/w/ts/co2/h2o/ch4/none.6
120,discontinuities_sf,8u/v/w/ts/co2/h2o/ch4/none.7
121,timelag_hf,8co2/h2o/ch4/none
122,timelag_sf,8co2/h2o/ch4/none.1
123,attack_angle_hf,8aa
124,non_steady_wind_hf,8U
125,u_spikes,[#].18
126,v_spikes,[#].19
127,w_spikes,[#].20
128,ts_spikes,[#].21
129,co2_spikes,[#].22
130,h2o_spikes,[#].23
131,ch4_spikes,[#].24
132,none_spikes,[#].25
133,head_detect_LI-7200,[#_flagged_recs]
134,t_out_LI-7200,[#_flagged_recs].1
135,t_in_LI-7200,[#_flagged_recs].2
136,aux_in_LI-7200,[#_flagged_recs].3
137,delta_p_LI-7200,[#_flagged_recs].4
138,chopper_LI-7200,[#_flagged_recs].5
139,detector_LI-7200,[#_flagged_recs].6
140,pll_LI-7200,[#_flagged_recs].7
141,sync_LI-7200,[#_flagged_recs].8
142,chopper_LI-7500,[#_flagged_recs].9
143,detector_LI-7500,[#_flagged_recs].10
144,pll_LI-7500,[#_flagged_recs].11
145,sync_LI-7500,[#_flagged_recs].12
146,not_ready_LI-7700,[#_flagged_recs].13
147,no_signal_LI-7700,[#_flagged_recs].14
148,re_unlocked_LI-7700,[#_flagged_recs].15
149,bad_temp_LI-7700,[#_flagged_recs].16
150,laser_temp_unregulated_LI-7700,[#_flagged_recs].17
151,block_temp_unregulated_LI-7700,[#_flagged_recs].18
152,motor_spinning_LI-7700,[#_flagged_recs].19
153,pump_on_LI-7700,[#_flagged_recs].20
154,top_heater_on_LI-7700,[#_flagged_recs].21
155,bottom_heater_on_LI-7700,[#_flagged_recs].22
156,calibrating_LI-7700,[#_flagged_recs].23
157,motor_failure_LI-7700,[#_flagged_recs].24
158,bad_aux_tc1_LI-7700,[#_flagged_recs].25
159,bad_aux_tc2_LI-7700,[#_flagged_recs].26
160,bad_aux_tc3_LI-7700,[#_flagged_recs].27
161,box_connected_LI-7700,[#_flagged_recs].28
162,mean_value_RSSI_LI-7200,[#].26
163,mean_value_LI-7500,[#].27
164,u_var,[m+2s-2].1
165,v_var,[m+2s-2].2
166,w_var,[m+2s-2].3
167,ts_var,[K+2]
168,co2_var,--
169,h2o_var,--.1
170,ch4_var,--.2
171,none_var,--.3
172,w/ts_cov,[m+1s-1K+1]
173,w/co2_cov,--.4
174,w/h2o_cov,--.5
175,w/ch4_cov,--.6
176,w/none_cov,--.7
177,co2_signal_strength_7500_mean,--.8
178,ALB_1_1_1,[%].1
179,CHK__1_1_1,[OTHER]
180,DAQM_T_1_1_1,[C]
181,VIN_1_1_1,[V]
182,DRM_POWER_STATUS_1_1_1,[OTHER].1
183,DRM_V_BATTERY_1_1_1,[V].1
184,DRM_V_MAIN_1_1_1,[V].2
185,LWIN_1_1_1,[W/m^2]
186,LWOUT_1_1_1,[W/m^2].1
187,PPFD_1_1_1,[µmol/m^2/s]
188,RH_1_1_1,[%].2
189,RN_1_1_1,[W/m^2].2
190,SHF_1_1_1,[W/m^2].3
191,SHF_2_1_1,[W/m^2].4
192,SHF_3_1_1,[W/m^2].5
193,SWC_1_1_1,[m^3/m^3]
194,SWC_2_1_1,[m^3/m^3].1
195,SWC_3_1_1,[m^3/m^3].2
196,SWIN_1_1_1,[W/m^2].6
197,SWOUT_1_1_1,[W/m^2].7
198,TA_1_1_1,[K].4
199,TNR_C_1_1_1,[C].1
200,TS_1_1_1,[K].5
201,TS_2_1_1,[K].6
202,TS_3_1_1,[K].7
203,CHK,243
